"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rps3",0,-0.47077791748329,0.199,0.401,0,"0","Rps3"
"Fcer1g",0,-0.474951792097376,0.025,0.214,0,"0","Fcer1g"
"Rplp1",0,-0.477459658211251,0.589,0.665,0,"0","Rplp1"
"Rps13",0,-0.47889849478809,0.175,0.392,0,"0","Rps13"
"Cd52",0,-0.48629013869906,0.063,0.275,0,"0","Cd52"
"Rps8",0,-0.499509670209049,0.407,0.575,0,"0","Rps8"
"Rpl23",0,-0.502467127940843,0.327,0.507,0,"0","Rpl23"
"Rpl35a",0,-0.504765936156926,0.358,0.555,0,"0","Rpl35a"
"Ccl6",0,-0.513959531590831,0.043,0.187,0,"0","Ccl6"
"Cst3",0,-0.523762865055495,0.211,0.334,0,"0","Cst3"
"Rplp2",0,-0.524520765117252,0.357,0.542,0,"0","Rplp2"
"Rplp0",0,-0.543198441199525,0.252,0.432,0,"0","Rplp0"
"Rpl35",0,-0.54559637264159,0.055,0.264,0,"0","Rpl35"
"Rpl37a",0,-0.549090068502451,0.469,0.595,0,"0","Rpl37a"
"Rps4x",0,-0.555255693175575,0.246,0.488,0,"0","Rps4x"
"Rpl41",0,-0.556235356019067,0.531,0.657,0,"0","Rpl41"
"Rps29",0,-0.560398364156798,0.385,0.508,0,"0","Rps29"
"Rps23",0,-0.577084028486791,0.28,0.466,0,"0","Rps23"
"B2m",0,-0.580039256543339,0.251,0.479,0,"0","B2m"
"Rps15a",0,-0.587929114571308,0.218,0.461,0,"0","Rps15a"
"mt-Rnr2",0,-0.588872258236251,0.002,0.103,0,"0","mt-Rnr2"
"Rps11",0,-0.589540833544247,0.199,0.433,0,"0","Rps11"
"Rps5",0,-0.601354824042482,0.194,0.449,0,"0","Rps5"
"Rps9",0,-0.603080616072665,0.347,0.55,0,"0","Rps9"
"Tyrobp",0,-0.612635222156799,0.033,0.241,0,"0","Tyrobp"
"Rpl13a",0,-0.623282627112378,0.362,0.554,0,"0","Rpl13a"
"Rps18",0,-0.623626961678381,0.241,0.455,0,"0","Rps18"
"Rps19",0,-0.62874490339028,0.374,0.534,0,"0","Rps19"
"Rps16",0,-0.631992064292201,0.283,0.489,0,"0","Rps16"
"Rpl13",0,-0.632748438016118,0.36,0.518,0,"0","Rpl13"
"Rps24",0,-0.634161697854667,0.381,0.576,0,"0","Rps24"
"Rpl10",0,-0.634696718063819,0.119,0.291,0,"0","Rpl10"
