"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PFDN5.10",1.68321966613431e-147,-0.449280617666686,0.425,0.686,6.09190861567328e-143,"17","PFDN5"
"ALDH1A1.14",7.60095561705893e-147,-0.587996804291798,0.052,0.32,2.75093785692597e-142,"17","ALDH1A1"
"RPL32.13",1.39237870959942e-146,-0.619049919015645,0.762,0.87,5.0392970257822e-142,"17","RPL32"
"CTSC.12",3.07130809131815e-146,-0.601191556721806,0.018,0.277,1.11156782440987e-141,"17","CTSC"
"PPDPF.10",6.32680861040759e-146,0.594577829265283,0.762,0.573,2.28979857227872e-141,"17","PPDPF"
"EEF1B2.8",7.00625980657919e-145,-0.49753472377313,0.299,0.574,2.53570554919714e-140,"17","EEF1B2"
"SFTPC.16",2.89890144825124e-144,-2.14427258654286,0.605,0.284,1.04917041215109e-139,"17","SFTPC"
"CTNNA1.4",1.81856248703529e-143,0.341070928016325,0.46,0.232,6.58174135307813e-139,"17","CTNNA1"
"RPL19.12",2.27174746117978e-143,-0.567274732121453,0.757,0.876,8.22190841150186e-139,"17","RPL19"
"CTSB.13",4.2518673593684e-143,-0.680907723402872,0.111,0.377,1.53883583470261e-138,"17","CTSB"
"BTG3.2",7.26863312107827e-141,0.30946034157548,0.386,0.175,2.63066369918065e-136,"17","BTG3"
"DUSP1.14",1.30383170619293e-140,0.758002194872493,0.825,0.631,4.71882771105345e-136,"17","DUSP1"
"ACTB.15",1.19879716769526e-138,0.495414175078927,0.962,0.865,4.33868670932269e-134,"17","ACTB"
"AQP3.10",2.68858729010299e-137,-0.636704169165445,0.068,0.332,9.73053512034075e-133,"17","AQP3"
"FABP5.14",1.01240696594405e-136,-0.783976324263325,0.086,0.348,3.66410329114469e-132,"17","FABP5"
"NACA.13",2.10428289655353e-136,-0.487043684027537,0.51,0.723,7.61582065920653e-132,"17","NACA"
"HLA-DRB5.15",2.25631217006063e-136,-0.827617615341829,0.016,0.261,8.16604500588341e-132,"17","HLA-DRB5"
"ERRFI1.8",5.22410382419808e-135,0.389105295958153,0.383,0.175,1.89070765605377e-130,"17","ERRFI1"
"LAPTM5.17",4.45583511712549e-134,-0.580119829421176,0.012,0.253,1.61265584559006e-129,"17","LAPTM5"
"KLF4.13",7.0569656701063e-134,-0.506979105655996,0.013,0.254,2.55405701532487e-129,"17","KLF4"
"RPS8.13",9.19206511681327e-134,-0.517627216292876,0.787,0.907,3.32679220707706e-129,"17","RPS8"
"CLU.15",3.11213389194746e-133,-0.802952912534662,0.069,0.322,1.12634349817362e-128,"17","CLU"
"PLXNB2.2",4.57983449831634e-133,0.252227187869866,0.297,0.119,1.65753370163065e-128,"17","PLXNB2"
"RPS23.11",4.94612094103555e-133,-0.591786699897854,0.717,0.83,1.79010009097959e-128,"17","RPS23"
"REXO2.1",2.83297497001581e-132,0.275939216716221,0.343,0.151,1.02531030114812e-127,"17","REXO2"
"S100A9.14",9.27809372626001e-132,-1.15745441399937,0.034,0.279,3.35792768140802e-127,"17","S100A9"
"RPS15A.12",8.49554577518392e-131,-0.6418600440438,0.704,0.831,3.07470792695456e-126,"17","RPS15A"
"CLDN4.17",1.72278099467702e-130,0.567313768215014,0.62,0.366,6.23508897593507e-126,"17","CLDN4"
"IFI16.6",2.01853112931964e-130,-0.394178729379051,0.009,0.244,7.30546786323363e-126,"17","IFI16"
"BCL2L1.2",3.04961541815368e-130,0.272553714302606,0.306,0.127,1.10371681213818e-125,"17","BCL2L1"
"ADGRF5.8",6.64178577340183e-130,0.251558983216136,0.357,0.155,2.40379510710959e-125,"17","ADGRF5"
"RPS14.14",1.13528249717884e-129,-0.53412866014388,0.81,0.908,4.10881441378966e-125,"17","RPS14"
"RPL30.11",2.74059346272641e-129,-0.655557869216671,0.711,0.83,9.91875586029942e-125,"17","RPL30"
"CRIP2.10",3.56385594015927e-128,0.269584332354992,0.403,0.187,1.28983074186244e-123,"17","CRIP2"
"GSTA1.15",3.99980994115389e-128,-0.87197175494502,0.01,0.241,1.44761121390242e-123,"17","GSTA1"
"RNF213.3",1.24904941824918e-127,0.288911932216385,0.34,0.151,4.52055965452742e-123,"17","RNF213"
"RPL29.12",3.31572396634592e-127,-0.540775828937484,0.634,0.784,1.20002681789992e-122,"17","RPL29"
"IGFBP2.15",3.23827888130845e-126,-0.583748272761513,0.009,0.238,1.17199789272315e-121,"17","IGFBP2"
"RPL10A.9",4.53863710243797e-126,-0.528528181019734,0.55,0.752,1.64262354011435e-121,"17","RPL10A"
"DDIT4.9",5.0272942866222e-126,-0.506553678128053,0.021,0.254,1.81947834821431e-121,"17","DDIT4"
"MARCKS.9",7.37822711606806e-126,-0.376092526038962,0.009,0.237,2.67032795784735e-121,"17","MARCKS"
"LYZ.16",1.15288574076345e-124,-1.93294956258034,0.033,0.267,4.17252407297107e-120,"17","LYZ"
"TYROBP.17",4.56289834414086e-124,-1.1011079046611,0.011,0.236,1.65140416871146e-119,"17","TYROBP"
"TM4SF1.11",5.264898752501e-124,0.478138747545088,0.503,0.269,1.90547215650516e-119,"17","TM4SF1"
"JUNB.15",6.18138819075207e-124,-0.672485371398981,0.338,0.612,2.23716801399699e-119,"17","JUNB"
"CLTB.2",1.71128948313626e-122,0.300087424414239,0.363,0.171,6.19349889736675e-118,"17","CLTB"
"FTH1.15",1.80537115881761e-122,-1.47606530734531,0.91,0.956,6.53399929799271e-118,"17","FTH1"
"LEPROT.2",2.05791847218438e-122,0.27222904552194,0.373,0.175,7.44801853452971e-118,"17","LEPROT"
"EZR.14",8.50539404281422e-122,0.337862842721073,0.747,0.459,3.07827221197532e-117,"17","EZR"
"CAPS.17",2.41253649497831e-121,-1.51912619989402,0.038,0.266,8.73145208262551e-117,"17","CAPS"
"NUCB2.15",6.82074021065502e-121,-0.571578617673543,0.076,0.314,2.46856229704026e-116,"17","NUCB2"
"HSPB1.14",1.22775146694483e-120,0.682330946388134,0.685,0.47,4.44347810916673e-116,"17","HSPB1"
"RPL18A.11",3.26771293490717e-120,-0.567980165141548,0.738,0.834,1.1826506654016e-115,"17","RPL18A"
"CCND1.10",8.03949727462315e-120,0.342896805013657,0.365,0.173,2.90965485363161e-115,"17","CCND1"
"FXYD5.12",1.58634670020312e-119,-0.363843466916285,0.015,0.237,5.74130597737512e-115,"17","FXYD5"
"RPL3.11",5.94871866790507e-119,-0.5410739825062,0.724,0.878,2.1529602602882e-114,"17","RPL3"
"SPAG9.1",2.00205675045238e-117,0.251864341374792,0.307,0.133,7.24584379123725e-113,"17","SPAG9"
"FCER1G.17",6.9162541823385e-117,-0.903826112064149,0.011,0.226,2.50313071367195e-112,"17","FCER1G"
"RPL39.13",4.87134034841487e-116,-0.680219385044672,0.688,0.799,1.76303549889831e-111,"17","RPL39"
"ABHD2.1",9.0635372637463e-116,0.252061285060735,0.3,0.129,3.28027540649506e-111,"17","ABHD2"
"RPL12.13",1.48296525758777e-115,-0.542702234552858,0.725,0.822,5.36714786026164e-111,"17","RPL12"
"BAIAP2.2",2.27808596740467e-115,0.253215991153479,0.334,0.151,8.24484873323098e-111,"17","BAIAP2"
"RPS16.10",1.06123717072439e-114,-0.429539466498371,0.719,0.837,3.84082956828573e-110,"17","RPS16"
"STK17A.3",2.77899734752021e-114,0.270634689692221,0.298,0.129,1.00577472001451e-109,"17","STK17A"
